net,length_um
_103_,261
_106_,258.565
_107_,252.56
_119_,242.06
_104_,236.22
_118_,233.795
_112_,225.44
_151_,215.92
_101_,214.96
_153_,211.74
_100_,207.595
_023_,194.7
net5,191.35
_087_,183.18
net6,181.56
_070_,180.66
net11,177.45
net13,173.42
net9,172.56
_134_,172.42
net19,168.42
net15,168.26
_162_,168.2
net2,167.39
_074_,165.78
net7,159.83
_164_,156.2
net18,151.08
net14,150.72
_129_,147.99
_150_,147.51
net4,145.66
_156_,143.5
_116_,140.48
net27,140.38
_165_,139.92
_026_,137.17
_166_,136.4
_158_,136.02
_169_,134.81
net17,133.22
_099_,132.72
net10,132.22
_019_,131.48
_067_,130.5
net3,129.62
_079_,125.78
_105_,125.57
_127_,121.69
net8,119.8
net12,118.01
_137_,117.59
_138_,115.82
_000_,113.49
_024_,113.12
_128_,112.78
_133_,109.98
_117_,109.6
_030_,109.1
net28,108.9
_010_,104.76
_008_,104
_168_,103.48
_046_,102.98
_155_,102.52
net20,102.3
net16,100.7
_149_,99.44
_142_,99.4
_049_,98.22
_114_,96.56
_058_,96
_037_,95.64
_111_,94.68
net26,94.47
_017_,94.18
_157_,94
_011_,91.78
_029_,91.7
_012_,90.03
_120_,89.87
_004_,89.635
_018_,89.58
_043_,89.04
_141_,89.02
_132_,88.8
_002_,87.85
_014_,87.78
_007_,87.34
_035_,87.18
_027_,87.09
_144_,86.46
net21,85.2
_054_,85.05
_053_,85
_145_,84.21
_143_,83.16
_094_,83
_124_,82.67
_003_,82.32
net1,81.92
_091_,78.66
_064_,78.52
_088_,75.82
_115_,75.76
_051_,75.54
_033_,75.48
net24,74.32
_001_,74.2
_005_,73.94
_073_,73.86
_084_,73.3
_050_,73.28
_006_,72.64
net25,72.35
_121_,71.3
_042_,70.84
_108_,70.38
_020_,69.74
net23,69.44
net22,67.38
_125_,66.6
_163_,66.34
_161_,66.05
_140_,65.12
_069_,64.3
_113_,63.44
_083_,63.3
_122_,63.17
_075_,63.06
_041_,61.64
_038_,61.44
_159_,61.36
_072_,60.76
_130_,60.32
_013_,58.06
_081_,57.91
_098_,57.86
_147_,57.33
_123_,57.28
_126_,57.18
_139_,56.54
_077_,55.66
_057_,55.22
_097_,54.2
_034_,54.07
_056_,53.6
_146_,53.2
_066_,52.7
_062_,52.5
_095_,52.47
_092_,51.62
_109_,51.28
_040_,49.74
_080_,49.5
_068_,49.4
_036_,49.08
_167_,48.86
_071_,48.68
_039_,48.32
net31,47.96
_052_,46.72
_086_,46.64
_009_,45.78
_096_,45.74
_090_,45.62
_032_,44.88
_131_,44.76
_085_,44.42
_028_,43.92
_060_,40.78
_076_,40.36
_110_,38.98
_082_,38.72
_093_,36.76
_059_,35.72
_148_,34.56
_021_,34.5
_025_,33.8
_065_,32.94
_102_,31.38
_045_,29.76
_152_,29.6
_154_,28.48
_015_,28.36
_078_,26.85
_022_,25.52
_136_,25
_047_,24.26
_016_,23.54
_135_,22.46
_061_,22.14
_160_,21.72
A[0],21.27
opcode[1],20.29
_089_,19.1
net30,18.84
out[7],17.65
_048_,17.16
_044_,13.92
_055_,12.08
_031_,11.74
B[2],8.81
out[4],8.27
out[5],6.69
_063_,6.14
B[3],6.09
B[4],6.09
opcode[0],6.09
opcode[2],6.09
A[3],5.97
A[7],5.75
out[0],5.75
out[3],5.75
A[6],5.63
B[0],5.41
B[1],5.41
net29,5.34
B[7],5.29
out[1],5.07
out[6],5.07
A[4],4.95
A[1],4.73
out[2],4.73
A[2],4.61
A[5],4.61
B[5],4.61
B[6],4.61
net32,1.7
